type,d1
Strong Republican,1.40194286880821
Weak Republican,1.90738044129046
Weak Republican,1.89169694883694
Weak Republican,2.37681228259365
Weak Republican,1.83957770018935
Strong Republican,1.86376353300361
Strong Republican,0.959534271427426
Weak Republican,2.67242053370751
Strong Republican,0.837099758488691
Weak Republican,0.676921464813055
Weak Republican,2.1627822681331
Weak Republican,1.10794921235347
Weak Republican,2.20865223599426
Weak Republican,0.812252992115729
Strong Republican,1.93802107723506
Strong Republican,1.18734167415145
Strong Republican,1.25378491666835
Strong Republican,2.12746483416866
Weak Republican,0.858890206703567
Weak Republican,2.35868082819704
Weak Republican,1.27268675843845
Weak Republican,2.76199884241455
Weak Republican,2.09107487182546
Strong Republican,1.66568506778803
Strong Republican,1.62799564767188
Strong Republican,2.25798611844812
Weak Republican,0.91268935014478
Weak Republican,1.7456188014723
Strong Republican,1.28442782982864
Weak Republican,2.40871923254245
Strong Republican,1.19982341039029
Weak Republican,1.61080599086705
Weak Republican,1.18734167415145
Strong Republican,1.91688534773849
Strong Republican,0.729753152575319
Weak Republican,1.95431011764758
Strong Republican,1.93569954926826
Weak Republican,0.953508272059845
Weak Republican,1.29422987908003
Weak Republican,1.95431011764758
Weak Republican,2.04331768747578
Weak Republican,1.55760744498735
Weak Republican,1.24730020272291
Weak Republican,1.11292374288791
Strong Republican,1.32075546698261
Weak Republican,1.36658680751235
Weak Republican,2.31766099037118
Weak Republican,1.15792538985691
Strong Republican,2.22193356035557
Weak Republican,1.65529138251809
Strong Republican,0.83709698804532
Weak Republican,1.66148352089586
Weak Republican,1.61611130846117
Strong Republican,1.75020288732334
Strong Republican,1.19870118842793
Weak Republican,2.23647358854558
Strong Republican,1.72646865733228
Weak Republican,2.02114881426788
Weak Republican,0.536003791386346
Strong Republican,1.44681508992352
Strong Republican,0.955755619592921
Weak Republican,0.965811164879665
Strong Republican,0.908434325152868
Strong Republican,1.80717912930162
Weak Republican,1.82345142911747
Strong Republican,1.92291482522608
Strong Republican,1.58520186910596
Weak Republican,1.2151063793893
Strong Republican,1.24270378885925
Weak Republican,1.10119970582486
Strong Republican,0.861935088971155
Strong Republican,1.11513161129098
Weak Republican,1.6719982481032
